Time,ROI-1-_sig_410,ROI-1-_sig_470,ROI-2-_sig_410,ROI-2-_sig_470,Input_DIO-1-bpod,
0:00:00:00.0000000,1.2392266135383778,3.54342912943876,2.221298376678817,5.568816372203875,0,
0:00:00:00.0333341,1.2396759589684647,3.544627383918991,2.2252995054878455,5.566906399395037,0,
0:00:00:00.0666683,1.2435158199164789,3.5663185133168156,2.2187316148013267,5.561954058831409,0,
0:00:00:00.0979164,1.2404112514904246,3.581759656277979,2.2237820962602703,5.56171248124294,0,
0:00:00:00.1312816,1.2366258566551485,3.575496053313133,2.2172066562741124,5.564150905026555,0,
0:00:00:00.1646158,1.2334668221163565,3.565365356343905,2.2215022077690882,5.558843747379862,0,
0:00:00:00.1979500,1.2306890503667294,3.54884850765617,2.2205962918123268,5.553378054440737,0,
0:00:00:00.2312842,1.22919123226644,3.546506464808445,2.2202037282310636,5.548969263451165,0,
0:00:00:00.2646183,1.2316013577550873,3.527239077427452,2.226892407711817,5.538951342829315,0,
0:00:00:00.2979525,1.2316966734523784,3.5242162081705044,2.221132292086744,5.551483180231178,0,
0:00:00:00.3312867,1.2264679266295506,3.5066645033407515,2.217327445068347,5.536143003363355,0,
0:00:00:00.3646209,1.2275027827715685,3.495158537024893,2.2170783181802376,5.530511225832156,0,
0:00:00:00.3979550,1.220272406305627,3.4699407268272964,2.215221190468877,5.5201309388276005,0,
0:00:00:00.4312892,1.2198094443473557,3.457100340749363,2.2161497543245576,5.523399785571581,0,
0:00:00:00.4646234,1.2158061850611284,3.4447229166296998,2.2135225980499498,5.511011384862871,0,
0:00:00:00.4979575,1.2219608558004986,3.435763241084334,2.2131451330679663,5.518190768820204,0,
0:00:00:00.5312917,1.2177261155351353,3.4333258825393176,2.2160365148299626,5.513751780632074,0,
0:00:00:00.5646259,1.2150300429546148,3.414480607532042,2.2087967364755126,5.5042547616853605,0,
0:00:00:00.5979601,1.2122522712049875,3.4093471764065058,2.211159667262731,5.50076698525183,0,
0:00:00:00.6312943,1.213613924023432,3.389943623743668,2.2086985955801968,5.494606756745854,0,
0:00:00:00.6646284,1.2160921321530018,3.3927350120214794,2.2137641756384197,5.499007998435785,0,
0:00:00:00.6979626,1.2163508461885062,3.3789823185551877,2.2139755560283305,5.492689234637376,0,
0:00:00:00.7312968,1.2138862545871212,3.3728276478158175,2.2112427095587677,5.491753121482056,0,
0:00:00:00.7646310,1.2164870114703505,3.366468729153681,2.2133716120571565,5.485011596903824,0,
0:00:00:00.7979651,1.2105774382383003,3.3550580785351136,2.2135980910463466,5.4850040476041855,0,
0:00:00:00.8312993,1.2080311474678087,3.3462209517434074,2.2068565664681152,5.482693961914444,0,
0:00:00:00.8646335,1.2095834316808358,3.337057028275274,2.208336229197492,5.480534862217496,0,
0:00:00:00.8979677,1.2064243971420439,3.3349328498785002,2.2100650188149777,5.475763704845221,0,
0:00:00:00.9313019,1.2074864863404309,3.3244345066482914,2.2107218078836297,5.478889114896047,0,
0:00:00:00.9646360,1.2090932366661957,3.32299115466074,2.21212597761661,5.474955929783776,0,
0:00:00:00.9979702,1.209651514321758,3.3155837633284007,2.210789751580387,5.468576771588249,0,
0:00:00:01.0313044,1.204477233611668,3.3208533597357817,2.2084796658906463,5.475152211574407,0,
0:00:00:01.0646386,1.201767544502963,3.314249343566324,2.2100121737175003,5.472419365104844,0,
0:00:00:01.0979727,1.20910685319438,3.3103277834492038,2.2124958932989536,5.472041900122861,0,
0:00:00:01.1313069,1.2019037097848075,3.303492286300611,2.2053618051394595,5.4681087150105885,0,
