Input,,
DIO-1-bpod,DIO-1-bpod(Value),
0:00:00:18.6150832,1,
0:00:00:19.6151252,0,
0:00:01:14.3031292,1,
0:00:01:15.3031712,0,
0:00:02:12.7001292,1,
0:00:02:13.7001712,0,
0:00:03:06.2839562,1,
0:00:03:07.2839992,0,
0:00:03:56.8451132,1,
0:00:03:57.8451552,0,
0:00:04:46.1184972,1,
0:00:04:47.1185402,0,
0:00:05:36.7423582,1,
0:00:05:37.7424002,0,
0:00:06:32.7265212,1,
0:00:06:33.7265632,0,
0:00:07:24.3216362,1,
0:00:07:25.3216792,0,
0:00:08:14.7619862,1,
0:00:08:15.7620292,0,
0:00:09:12.2607352,1,
0:00:09:13.2607772,0,
0:00:10:02.1541542,1,
0:00:10:03.1541962,0,
0:00:10:59.6769042,1,
0:00:11:00.6769462,0,
0:00:11:49.4080132,1,
0:00:11:50.4080562,0,
0:00:12:41.4269522,1,
0:00:12:42.4269942,0,
0:00:13:33.1862762,1,
0:00:13:34.1863182,0,
0:00:14:23.4315152,1,
0:00:14:24.4315572,0,
0:00:15:13.8652642,1,
0:00:15:14.8653062,0,
0:00:16:10.7113752,1,
0:00:16:11.7114172,0,
0:00:17:04.9139372,1,
0:00:17:05.9139792,0,
