Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:00.0000000	3.555705032	3.511987037	0
0:00:00:00.0333341	3.552005875	9.190200311	0
0:00:00:00.0666683	3.551318889	9.180756137	0
0:00:00:00.1000025	3.553900749	9.179887967	0
0:00:00:00.1280172	3.548208577	9.158161083	0
0:00:00:00.1613513	3.542418264	9.148581022	0
0:00:00:00.1946855	3.541376461	9.154152405	0
0:00:00:00.2280197	3.538960685	9.144262822	0
0:00:00:00.2613538	3.546275956	9.147259894	0
0:00:00:00.2946880	3.5598194	9.142632174	0
0:00:00:00.3280222	3.542720236	9.135105522	0
0:00:00:00.3613564	3.54806514	9.131617746	0
0:00:00:00.3946906	3.540613982	9.137626988	0
0:00:00:00.4280247	3.538922939	9.125668897	0
0:00:00:00.4613589	3.539390995	9.112978525	0
0:00:00:00.4946931	3.545294547	9.110947763	0
0:00:00:00.5280273	3.537745248	9.118519711	0
0:00:00:00.5613615	3.537005416	9.10322483	0
0:00:00:00.5946956	3.539730714	9.1089321	0
0:00:00:00.6280298	3.532422992	9.089032146	0
0:00:00:00.6613640	3.539247558	9.090708091	0
0:00:00:00.6946982	3.534891613	9.073133321	0
0:00:00:00.7280323	3.53632598	9.068490502	0
0:00:00:00.7613665	3.527765074	9.084985722	0
0:00:00:00.7947007	3.526164622	9.070566559	0
0:00:00:00.8280349	3.530384681	9.065365092	0
0:00:00:00.8613690	3.536454318	9.050961028	0
0:00:00:00.8947032	3.526096679	9.051799	0
0:00:00:00.9280374	3.530973526	9.054086438	0
0:00:00:00.9613716	3.529984568	9.059521934	0
0:00:00:00.9947058	3.52554558	9.045638772	0
0:00:00:01.0280399	3.528082144	9.056857031	0
0:00:00:01.0613741	3.527795271	9.045835054	0
0:00:00:01.0947083	3.532800457	9.036202147	0
0:00:00:01.1280425	3.532694766	9.048952914	0
0:00:00:01.1613766	3.525613523	9.03833105	0
0:00:00:01.1947108	3.528542652	9.038066824	0
0:00:00:01.2280450	3.51746028	9.026629635	0
0:00:00:01.2613792	3.525507833	9.014211038	0
0:00:00:01.2947133	3.520917859	9.008941626	0
0:00:00:01.3280475	3.528784229	9.012829516	0
0:00:00:01.3613817	3.526753468	9.01181036	0
0:00:00:01.3947159	3.52241262	9.002441679	0
0:00:00:01.4280500	3.518615323	8.995262295	0
