Input,,
DIO-1-bpod,DIO-1-bpod(Value),
0:00:00:39.8123557,1,
0:00:00:40.8123977,0,
0:00:01:29.2229497,1,
0:00:01:30.2229917,0,
0:00:02:25.2856197,1,
0:00:02:26.2856617,0,
0:00:03:21.7569127,1,
0:00:03:22.7569547,0,
0:00:04:11.1000027,1,
0:00:04:12.1000447,0,
0:00:05:02.4107037,1,
0:00:05:03.4107457,0,
0:00:05:59.0202047,1,
0:00:06:00.0202467,0,
0:00:06:49.8209767,1,
0:00:06:50.8210187,0,
0:00:07:48.7896107,1,
0:00:07:49.7896527,0,
0:00:08:46.9967017,1,
0:00:08:47.9967437,0,
0:00:09:36.8641207,1,
0:00:09:37.8641627,0,
0:00:10:28.6814497,1,
0:00:10:29.6814917,0,
0:00:11:19.9326467,1,
0:00:11:20.9326897,0,
0:00:12:09.8828707,1,
0:00:12:10.8829127,0,
0:00:13:01.0184607,1,
0:00:13:02.0185037,0,
0:00:13:56.4541947,1,
0:00:13:57.4542367,0,
0:00:14:54.8456947,1,
0:00:14:55.8457367,0,
0:00:15:47.8676917,1,
0:00:15:48.8677337,0,
0:00:16:44.3056817,1,
0:00:16:45.3057237,0,
0:00:17:42.3080597,1,
0:00:17:43.3081017,0,
